"","Block","Mic","r.max","c.mod","c.pred"
"1",1,"none",2.56976729105152,0.591158668514242,0.55
"2",1,"1",1.87645780516766,1.87677328137726,1.9
"3",1,"2",2.09193577166175,2.15228547915531,1.975
"4",1,"3",1.9778094588419,1.25783045186192,1.15
"5",1,"4",1.32822712494087,2.32018330449607,2.325
"6",1,"5",2.9481314335085,0.404533714763195,0.375
"7",1,"6",2.57184863786711,0.967595303433952,0.925
"8",1,"7",1.22911731498444,2.51447805436114,2.65
"9",1,"8",2.47804498943386,0.71172677588403,0.675
"10",1,"9",1.68034126881186,1.22597529963494,1.175
"11",1,"10",1.89213729713971,1.77737740675089,1.875
"12",1,"11",2.32621193285648,0.452786087770691,0.425
"13",1,"12",2.53728802870453,0.779582970654976,0.75
"14",1,"13",1.86421591739278,1.85812206607751,1.65
"15",1,"14",2.52398417580159,0.650834791992058,0.625
"16",1,"15",1.9538693429019,1.5541067386985,1.525
"17",1,"all",2.0005974522378,1.75557764300565,1.85
"18",2,"none",2.14049559007283,1.9293895802469,1.925
"19",2,"1",2.09053537842937,1.47843217404903,1.425
"20",2,"2",1.91114141642982,2.01598521685344,2.15
"21",2,"3",1.34407835776543,3.11581252889221,3.1
"22",2,"4",2.1089560592914,1.32267947872261,1.275
"23",2,"5",1.42666490497147,2.55880141607181,2.6
"24",2,"6",1.57532690228936,2.72278053567002,2.725
"25",2,"7",0.942137456268135,3.00969643133568,2.7
"26",2,"8",1.44593670064137,2.72413812477918,2.725
"27",2,"9",2.82252833807747,1.27795667018351,1.25
"28",2,"10",2.2910901692011,1.57048273854955,1.575
"29",2,"11",2.92753410147544,0.431386649074199,0.45
"30",2,"12",1.78783507119552,2.26214910751543,2.3
"31",2,"13",2.05967449298097,1.75852067029603,1.825
"32",2,"14",1.84524624020951,2.08974647477719,2.175
"33",2,"15",1.39416582304876,2.39963592695615,2.45
"34",2,"all",2.71272241446256,1.13743760738608,1.125
