"Block","Mic","Chlamy","K.s","r.max","R.jag","R.mth"
1,"none","y",8.35426344076881,1.32363982285605,5,5.07155142875417
2,"none","y",9.00428916147642,1.52665340387164,5,4.38526241062472
1,"1","n",5.21894121872745,0.00932732792505605,NA,-5.31814946678987
1,"1","y",8.25872446670435,1.10626178298508,7,6.81118676658166
2,"1","y",8.74835208913951,1.4649509284984,5,4.5330554284005
2,"1","n",5.29966089675442,0.0290286733335637,NA,-5.6263094977201
1,"2","y",9.11590170298838,1.32890487169932,6,5.49876229120238
1,"2","n",5.29233948549536,0.0570270298573854,NA,-5.97365961606133
2,"2","n",5.30929706955769,0.00844612911125642,NA,-5.40052411748719
2,"2","y",7.985740935336,1.15942633091004,6,6.05506677623507
1,"3","n",5.1828743433929,0.0110463055643308,NA,-5.29996439578473
1,"3","y",8.52382352088063,1.31016967836967,6,5.26051748692536
2,"3","y",8.01299073578786,1.25713146762105,6,5.29167725716454
2,"3","n",5.16777925537728,0.00746255064438685,NA,-5.24607749333405
1,"4","y",8.4818423651289,1.04036098889503,8,7.84831116553512
1,"4","n",5.20312257071962,0.0679858607138524,NA,-6.02193550807986
2,"4","y",9.09759043755152,1.4727495666729,5,4.67622435889024
2,"4","n",5.27523899907828,0.0767131312562585,NA,-6.23128118140598
1,"5","y",8.73006010050319,1.24176902820435,6,5.88462160629477
1,"5","n",5.22456264215565,0.00834419390960616,NA,-5.31323191695928
2,"5","y",8.66583013223605,1.34785262986175,6,5.11045777710748
2,"5","n",5.33864131969175,0.00616280016643749,NA,-5.40526444898341
1,"6","n",5.12167671051027,0.0264367597024389,NA,-5.40759530584774
1,"6","y",8.25620750647873,1.14963203544601,7,6.35452614402734
2,"6","n",5.30778362285705,0.0160831134925717,NA,-5.48418930073396
2,"6","y",8.11488625869331,1.3616016609108,5,4.70918675465124
1,"7","y",7.94388825786084,1.11744394778449,7,6.43288211534427
1,"7","n",5.10532125173086,0.0086445414134823,NA,-5.19514046553725
2,"7","y",7.81600288281861,1.05502754009462,7,7.0410946468406
2,"7","n",5.24341102836409,0.0110172928985344,NA,-5.36155057450331
1,"8","n",5.1669256428161,0.0111974821617541,NA,-5.28528951289684
1,"8","y",8.61536258568554,1.28593457796302,6,5.48096675426519
2,"8","n",5.28539174204511,0.00567110242689089,NA,-5.34602748088728
2,"8","y",7.89970469141336,1.42035398861759,5,4.29166646155304
1,"9","y",8.59919192818301,1.11014581741176,7,7.04683346405682
1,"9","n",5.15965693565173,0.0126470779985907,NA,-5.29355288818481
2,"9","y",9.07594540299616,1.59185843104184,5,4.15619147362172
2,"9","n",5.14308589493408,0.00640337441049738,NA,-5.20980657919986
1,"10","y",7.88637250061778,1.26806616565169,6,5.13391479360785
1,"10","n",5.23444330744773,0.00952199761785617,NA,-5.3360632709573
2,"10","y",8.99710901163094,1.53114271798855,5,4.36268852733675
2,"10","n",5.30158760892206,0.0337575977566123,NA,-5.68544128913711
1,"11","n",5.36311448337313,0.0456364099741492,NA,-5.9017872482564
1,"11","y",8.23156691362377,0.895639409596561,11,10.4028652277305
2,"11","y",8.76361528789657,1.29353287668441,6,5.52189804946286
2,"11","n",5.32829197207297,0.00716690759635302,NA,-5.40577738609821
1,"12","n",5.36718153888897,0.0733206861534478,NA,-6.28947943421882
1,"12","y",9.01532552493728,1.55678129294192,5,4.26546419072199
2,"12","y",8.7746982191406,1.4360681595267,5,4.68699748508556
2,"12","n",5.29900876052142,0.0080875706790648,NA,-5.38613017751603
1,"13","y",8.88813261670928,1.25833786301857,6,5.86027221516408
1,"13","n",5.27079762646338,0.0095272334007198,NA,-5.37318072011291
2,"13","n",5.25819729964507,0.00652787261393193,NA,-5.32775511303733
2,"13","y",8.80898699333457,1.31946875423131,6,5.37481566432494
1,"14","n",5.33159257002318,0.00978176788786563,NA,-5.43797866008747
1,"14","y",9.19717202077396,1.38641891683248,6,5.18782476666845
2,"14","y",7.89493917551659,1.40716181136139,5,4.35145035683798
2,"14","n",5.39587468907505,0.0302879405791381,NA,-5.74381110815845
1,"15","n",5.19613629716108,0.00989630449809835,NA,-5.30105806674225
1,"15","y",8.18056934825351,1.29435716192856,6,5.14917579920382
2,"15","y",8.73110090074953,1.51021590193102,5,4.32140341686369
2,"15","n",5.31930801809128,0.0230715441367002,NA,-5.57663099433087
1,"all","y",8.79579768948226,1.13846845975816,7,6.88820062686723
1,"all","n",5.26187730203461,0.0129005275382422,NA,-5.40123486014217
2,"all","y",8.89622558985329,1.37722100906608,6,5.0706865760799
2,"all","n",5.1826512691254,0.0177627175561347,NA,-5.37354893306977
