"Block","Mic","Chlamy","r.max","c.mod","c.pred"
1,"none","y",2.57829087383414,0.585581308242495,0.55
2,"none","y",2.14789806892487,1.91421997189503,1.925
1,"1","n",0.0248101951750442,3.95980602210255,1.2
1,"1","y",1.87017876387783,1.8811168490544,1.9
2,"1","n",0.247682703101504,1.5206233667533,0.525
2,"1","y",2.07801946268047,1.4919697688369,1.45
1,"2","n",0.131404838930942,4.16978618515763,2.1
1,"2","y",2.09022692878548,2.11673407516686,1.95
2,"2","n",0.0287258257198227,3.3464651124628,0.925
2,"2","y",1.92295792561071,1.99120135339872,2.125
1,"3","n",0.138803284176502,3.57215386645077,2.175
1,"3","y",1.98092862731793,1.25427304863761,1.15
2,"3","y",1.33551266214745,3.11532975411709,3.125
2,"3","n",0.020471525769437,3.92299090087201,1.125
1,"4","n",0.0273745042789621,3.82881075244822,1.175
1,"4","y",1.34701039513079,2.30414089676765,2.35
2,"4","y",2.10573395792437,1.33263504766706,1.3
2,"4","n",0.675960103490344,0.900193360143881,0.475
1,"5","y",2.93835096551707,0.415870547801527,0.4
1,"5","n",0.0299690756752141,3.69358287375002,0.975
2,"5","n",0.022369868622573,3.52756353135471,0.875
2,"5","y",1.42639750024928,2.55690559566786,2.6
1,"6","n",0.0243645483916457,3.99434142110159,1.175
1,"6","y",2.56810353774528,0.980820659883328,0.95
2,"6","n",0.145984010405774,1.74006078023264,0.475
2,"6","y",1.58832694005915,2.70526515047432,2.725
1,"7","n",0.0260716363953958,3.90677182234344,1.25
1,"7","y",1.21487264241111,2.53985565031334,2.65
2,"7","n",0.0515243370249092,2.67208033553137,0.775
2,"7","y",0.95096416865097,2.9225932573556,2.675
1,"8","y",2.50527429047333,0.683929519458093,0.65
1,"8","n",0.069726420638031,4.92349684531949,2.35
2,"8","n",0.0214493711692343,3.44756238200035,0.85
2,"8","y",1.43854413044084,2.73177494064443,2.75
1,"9","y",1.68362604249219,1.2110266768472,1.175
1,"9","n",0.033490790275766,3.77136633618815,1.075
2,"9","y",2.78988971416413,1.3166548659502,1.3
2,"9","n",0.0167665452689193,3.84795470801319,1.125
1,"10","n",0.0354192207483641,3.69410291862613,1.25
1,"10","y",1.87141883303061,1.81598754523836,1.9
2,"10","n",0.325453653244469,1.19448301522877,0.5
2,"10","y",2.29140382358992,1.5609838406938,1.55
1,"11","y",2.33583202816951,0.449348338439504,0.425
1,"11","n",0.140202402140939,5.5697666904598,3.725
2,"11","n",0.0180245626797737,3.75132869622198,1.075
2,"11","y",2.92639993884716,0.431382205737088,0.45
1,"12","n",0.0246694690217206,3.83622332127008,1.075
1,"12","y",2.52348894487791,0.805855321164112,0.775
2,"12","y",1.79881883982592,2.24623390115628,2.275
2,"12","n",0.0378204580817168,3.09936585422542,0.75
1,"13","n",0.0458256795704532,4.0979316106233,1.275
1,"13","y",1.85250339228131,1.8864919769836,1.65
2,"13","y",2.0598148074349,1.75453645648472,1.825
2,"13","n",0.0212774034877572,3.97096538126859,1.075
1,"14","y",2.5424935126503,0.639149136747005,0.6
1,"14","n",0.0637981976079336,3.82529210766965,2.125
2,"14","n",0.296503633878759,1.2163546141815,0.45
2,"14","y",1.81269932153465,2.14889952257035,2.25
1,"15","n",0.0308423993168454,4.12397310387932,1.15
1,"15","y",1.97167410711586,1.51640529477547,1.475
2,"15","n",0.267744152579656,1.06530294142965,0.45
2,"15","y",1.39584867282283,2.40370912045841,2.45
1,"all","n",0.0137944404653711,4.49485359523866,1.925
1,"all","y",1.97626628313196,1.80262828333903,1.9
2,"all","y",2.70711805731389,1.13984318718381,1.15
2,"all","n",0.157581712092165,1.70142594068139,0.475
