"","Row","Column","RFU","OD700","OD600","OD750","Well.ID","V.Chlamy","V.Em1021","V.Em1022","V.soln","C.Chlamy","C.Em1021","C.Em1022"
"1","A",1,10,0.133,0.138,0.136,"A1",0,0,0,200,0,0,0
"2","A",2,15,0.127,0.132,0.13,"A2",0,0,0,200,0,0,0
"3","A",3,9,0.136,0.142,0.137,"A3",0,0,0,200,0,0,0
"4","A",4,1879,0.196,0.197,0.187,"A4",200,0,0,0,1,0,0
"5","A",5,1862,0.188,0.188,0.177,"A5",200,0,0,0,1,0,0
"6","A",6,1974,0.203,0.202,0.191,"A6",200,0,0,0,1,0,0
"7","A",7,996,0.162,0.164,0.157,"A7",100,0,0,100,0.5,0,0
"8","A",8,958,0.151,0.154,0.148,"A8",100,0,0,100,0.5,0,0
"9","A",9,1020,0.166,0.169,0.161,"A9",100,0,0,100,0.5,0,0
"10","A",10,216,0.308,0.295,0.297,"A10",20,0,0,180,0.1,0,0
"11","A",11,227,0.156,0.161,0.157,"A11",20,0,0,180,0.1,0,0
"12","A",12,226,0.15,0.155,0.151,"A12",20,0,0,180,0.1,0,0
"13","B",1,126,0.136,0.142,0.138,"B1",10,0,0,190,0.05,0,0
"14","B",2,96,0.128,0.133,0.131,"B2",10,0,0,190,0.05,0,0
"15","B",3,151,0.137,0.143,0.139,"B3",10,0,0,190,0.05,0,0
"16","B",4,43,0.143,0.147,0.145,"B4",2,0,0,198,0.01,0,0
"17","B",5,13,0.183,0.184,0.185,"B5",2,0,0,198,0.01,0,0
"18","B",6,19,0.13,0.136,0.133,"B6",2,0,0,198,0.01,0,0
"19","B",7,21,0.136,0.143,0.141,"B7",0.2,0,0,199.8,0.001,0,0
"20","B",8,11,0.127,0.131,0.13,"B8",0.2,0,0,199.8,0.001,0,0
"21","B",9,11,0.171,0.184,0.185,"B9",0.2,0,0,199.8,0.001,0,0
"22","B",10,17,0.216,0.247,0.21,"B10",0,200,0,0,0,1,0
"23","B",11,19,0.216,0.247,0.209,"B11",0,200,0,0,0,1,0
"24","B",12,20,0.236,0.267,0.229,"B12",0,200,0,0,0,1,0
"25","C",1,15,0.174,0.192,0.171,"C1",0,100,0,100,0,0.5,0
"26","C",2,12,0.167,0.186,0.166,"C2",0,100,0,100,0,0.5,0
"27","C",3,16,0.162,0.18,0.16,"C3",0,100,0,100,0,0.5,0
"28","C",4,11,0.148,0.156,0.15,"C4",0,20,0,180,0,0.1,0
"29","C",5,9,0.143,0.15,0.144,"C5",0,20,0,180,0,0.1,0
"30","C",6,8,0.151,0.16,0.152,"C6",0,20,0,180,0,0.1,0
"31","C",7,10,0.144,0.151,0.146,"C7",0,10,0,190,0,0.05,0
"32","C",8,8,0.15,0.157,0.153,"C8",0,10,0,190,0,0.05,0
"33","C",9,10,0.14,0.147,0.142,"C9",0,10,0,190,0,0.05,0
"34","C",10,11,0.137,0.141,0.138,"C10",0,2,0,198,0,0.01,0
"35","C",11,10,0.138,0.144,0.142,"C11",0,2,0,198,0,0.01,0
"36","C",12,13,0.179,0.181,0.18,"C12",0,2,0,198,0,0.01,0
"37","D",1,8,0.131,0.136,0.133,"D1",0,0.2,0,199.8,0,0.001,0
"38","D",2,13,0.147,0.152,0.15,"D2",0,0.2,0,199.8,0,0.001,0
"39","D",3,12,0.124,0.13,0.128,"D3",0,0.2,0,199.8,0,0.001,0
"40","D",4,19,0.205,0.236,0.197,"D4",0,0,200,0,0,0,1
"41","D",5,18,0.204,0.235,0.198,"D5",0,0,200,0,0,0,1
"42","D",6,22,0.211,0.243,0.204,"D6",0,0,200,0,0,0,1
"43","D",7,15,0.176,0.195,0.175,"D7",0,0,100,100,0,0,0.5
"44","D",8,12,0.174,0.194,0.173,"D8",0,0,100,100,0,0,0.5
"45","D",9,15,0.166,0.184,0.163,"D9",0,0,100,100,0,0,0.5
"46","D",10,9,0.166,0.173,0.168,"D10",0,0,20,180,0,0,0.1
"47","D",11,12,0.152,0.161,0.154,"D11",0,0,20,180,0,0,0.1
"48","D",12,11,0.148,0.157,0.151,"D12",0,0,20,180,0,0,0.1
"49","E",1,10,0.128,0.136,0.131,"E1",0,0,10,190,0,0,0.05
"50","E",2,12,0.137,0.143,0.139,"E2",0,0,10,190,0,0,0.05
"51","E",3,12,0.136,0.143,0.139,"E3",0,0,10,190,0,0,0.05
"52","E",4,8,0.135,0.141,0.138,"E4",0,0,2,198,0,0,0.01
"53","E",5,10,0.136,0.141,0.138,"E5",0,0,2,198,0,0,0.01
"54","E",6,9,0.129,0.135,0.132,"E6",0,0,2,198,0,0,0.01
"55","E",7,12,0.131,0.135,0.135,"E7",0,0,0.2,199.8,0,0,0.001
"56","E",8,10,0.127,0.133,0.13,"E8",0,0,0.2,199.8,0,0,0.001
"57","E",9,9,0.145,0.15,0.148,"E9",0,0,0.2,199.8,0,0,0.001
"58","E",10,189,0.148,0.156,0.151,"E10",20,20,0,160,0.1,0.1,0
"59","E",11,209,0.158,0.166,0.159,"E11",20,20,0,160,0.1,0.1,0
"60","E",12,200,0.138,0.146,0.14,"E12",20,20,0,160,0.1,0.1,0
"61","F",1,220,0.134,0.143,0.135,"F1",20,10,0,170,0.1,0.05,0
"62","F",2,216,0.143,0.15,0.145,"F2",20,10,0,170,0.1,0.05,0
"63","F",3,215,0.142,0.15,0.144,"F3",20,10,0,170,0.1,0.05,0
"64","F",4,190,0.136,0.142,0.138,"F4",20,2,0,178,0.1,0.01,0
"65","F",5,191,0.136,0.139,0.136,"F5",20,2,0,178,0.1,0.01,0
"66","F",6,191,0.149,0.155,0.152,"F6",20,2,0,178,0.1,0.01,0
"67","F",7,199,0.14,0.144,0.141,"F7",20,0.2,0,179.8,0.1,0.001,0
"68","F",8,200,0.135,0.141,0.138,"F8",20,0.2,0,179.8,0.1,0.001,0
"69","F",9,204,0.134,0.139,0.136,"F9",20,0.2,0,179.8,0.1,0.001,0
"70","F",10,102,0.167,0.174,0.168,"F10",10,20,0,170,0.05,0.1,0
"71","F",11,105,0.147,0.155,0.149,"F11",10,20,0,170,0.05,0.1,0
"72","F",12,107,0.162,0.17,0.163,"F12",10,20,0,170,0.05,0.1,0
"73","G",1,42,0.142,0.152,0.143,"G1",2,20,0,178,0.01,0.1,0
"74","G",2,39,0.146,0.154,0.147,"G2",2,20,0,178,0.01,0.1,0
"75","G",3,35,0.138,0.148,0.14,"G3",2,20,0,178,0.01,0.1,0
"76","G",4,13,0.138,0.147,0.139,"G4",0.2,20,0,179.8,0.001,0.1,0
"77","G",5,12,0.141,0.15,0.143,"G5",0.2,20,0,179.8,0.001,0.1,0
"78","G",6,12,0.161,0.17,0.162,"G6",0.2,20,0,179.8,0.001,0.1,0
"79","G",7,151,0.152,0.161,0.154,"G7",20,0,20,160,0.1,0,0.1
"80","G",8,174,0.14,0.148,0.141,"G8",20,0,20,160,0.1,0,0.1
"81","G",9,173,0.141,0.15,0.142,"G9",20,0,20,160,0.1,0,0.1
"82","G",10,183,0.149,0.155,0.151,"G10",20,0,2,178,0.1,0,0.01
"83","G",11,180,0.144,0.15,0.146,"G11",20,0,2,178,0.1,0,0.01
"84","G",12,217,0.137,0.142,0.138,"G12",20,0,2,178,0.1,0,0.01
"85","H",1,178,0.141,0.147,0.143,"H1",20,0,0.2,179.8,0.1,0,0.001
"86","H",2,144,0.139,0.146,0.141,"H2",20,0,0.2,179.8,0.1,0,0.001
"87","H",3,173,0.127,0.133,0.129,"H3",20,0,0.2,179.8,0.1,0,0.001
"88","H",4,104,0.14,0.149,0.141,"H4",10,0,20,170,0.05,0,0.1
"89","H",5,79,0.145,0.154,0.147,"H5",10,0,20,170,0.05,0,0.1
"90","H",6,99,0.147,0.156,0.148,"H6",10,0,20,170,0.05,0,0.1
"91","H",7,28,0.15,0.159,0.152,"H7",2,0,20,178,0.01,0,0.1
"92","H",8,22,0.14,0.148,0.141,"H8",2,0,20,178,0.01,0,0.1
"93","H",9,33,0.158,0.167,0.16,"H9",2,0,20,178,0.01,0,0.1
"94","H",10,10,0.142,0.15,0.144,"H10",0.2,0,20,179.8,0.001,0,0.1
"95","H",11,12,0.15,0.16,0.154,"H11",0.2,0,20,179.8,0.001,0,0.1
"96","H",12,10,0.141,0.152,0.144,"H12",0.2,0,20,179.8,0.001,0,0.1
